Timestamp | Device_ID | Heart_Rate (BPM) | Status
2026-06-02 12:02:43 | WARD_A_HR_01 | 143 | CRITICAL
2026-06-02 12:02:43 | WARD_A_HR_02 | 142 | CRITICAL
2026-06-02 12:02:43 | WARD_A_HR_03 | 122 | CRITICAL
2026-06-02 12:02:43 | WARD_A_HR_04 | 131 | CRITICAL
2026-06-02 12:02:43 | WARD_A_HR_05 | 136 | CRITICAL
2026-06-02 12:02:44 | WARD_A_HR_01 | 121 | CRITICAL
2026-06-02 12:02:44 | WARD_A_HR_02 | 77 | NORMAL
2026-06-02 12:02:44 | WARD_A_HR_03 | 86 | NORMAL
2026-06-02 12:02:44 | WARD_A_HR_04 | 56 | CRITICAL
2026-06-02 12:02:44 | WARD_A_HR_05 | 127 | CRITICAL
2026-06-02 12:02:45 | WARD_A_HR_01 | 47 | CRITICAL
2026-06-02 12:02:45 | WARD_A_HR_02 | 131 | CRITICAL
2026-06-02 12:02:45 | WARD_A_HR_03 | 97 | WARNING
2026-06-02 12:02:45 | WARD_A_HR_04 | 126 | CRITICAL
2026-06-02 12:02:45 | WARD_A_HR_05 | 75 | NORMAL
2026-06-02 12:02:46 | WARD_A_HR_01 | 59 | CRITICAL
2026-06-02 12:02:46 | WARD_A_HR_02 | 100 | WARNING
2026-06-02 12:02:46 | WARD_A_HR_03 | 98 | WARNING
2026-06-02 12:02:46 | WARD_A_HR_04 | 134 | CRITICAL
2026-06-02 12:02:46 | WARD_A_HR_05 | 113 | CRITICAL
2026-06-02 12:02:47 | WARD_A_HR_01 | 102 | CRITICAL
2026-06-02 12:02:47 | WARD_A_HR_02 | 61 | NORMAL
2026-06-02 12:02:47 | WARD_A_HR_03 | 117 | CRITICAL
2026-06-02 12:02:47 | WARD_A_HR_04 | 60 | NORMAL
2026-06-02 12:02:47 | WARD_A_HR_05 | 139 | CRITICAL
2026-06-02 12:02:48 | WARD_A_HR_01 | 51 | CRITICAL
2026-06-02 12:02:48 | WARD_A_HR_02 | 54 | CRITICAL
2026-06-02 12:02:48 | WARD_A_HR_03 | 67 | NORMAL
2026-06-02 12:02:48 | WARD_A_HR_04 | 117 | CRITICAL
2026-06-02 12:02:48 | WARD_A_HR_05 | 61 | NORMAL
2026-06-02 12:02:49 | WARD_A_HR_01 | 82 | NORMAL
2026-06-02 12:02:49 | WARD_A_HR_02 | 107 | CRITICAL
2026-06-02 12:02:49 | WARD_A_HR_03 | 149 | CRITICAL
2026-06-02 12:02:49 | WARD_A_HR_04 | 148 | CRITICAL
2026-06-02 12:02:49 | WARD_A_HR_05 | 123 | CRITICAL
2026-06-02 12:02:50 | WARD_A_HR_01 | 100 | WARNING
2026-06-02 12:02:50 | WARD_A_HR_02 | 142 | CRITICAL
2026-06-02 12:02:50 | WARD_A_HR_03 | 83 | NORMAL
2026-06-02 12:02:50 | WARD_A_HR_04 | 144 | CRITICAL
2026-06-02 12:02:50 | WARD_A_HR_05 | 111 | CRITICAL
2026-06-02 12:02:51 | WARD_A_HR_01 | 104 | CRITICAL
2026-06-02 12:02:51 | WARD_A_HR_02 | 103 | CRITICAL
2026-06-02 12:02:51 | WARD_A_HR_03 | 48 | CRITICAL
2026-06-02 12:02:51 | WARD_A_HR_04 | 109 | CRITICAL
2026-06-02 12:02:51 | WARD_A_HR_05 | 69 | NORMAL
2026-06-02 12:02:52 | WARD_A_HR_01 | 95 | WARNING
2026-06-02 12:02:52 | WARD_A_HR_02 | 72 | NORMAL
2026-06-02 12:02:52 | WARD_A_HR_03 | 111 | CRITICAL
2026-06-02 12:02:52 | WARD_A_HR_04 | 110 | CRITICAL
2026-06-02 12:02:52 | WARD_A_HR_05 | 79 | NORMAL
2026-06-02 12:02:53 | WARD_A_HR_01 | 144 | CRITICAL
2026-06-02 12:02:53 | WARD_A_HR_02 | 70 | NORMAL
2026-06-02 12:02:53 | WARD_A_HR_03 | 108 | CRITICAL
2026-06-02 12:02:53 | WARD_A_HR_04 | 122 | CRITICAL
2026-06-02 12:02:53 | WARD_A_HR_05 | 91 | WARNING
