Timestamp | Device_ID | Usage (Liters/min) | Status
2026-06-02 12:02:43 | FACILITY_WATER_MAIN | 26 | NORMAL
2026-06-02 12:02:43 | ICU_WATER_RESERVE | 42 | HIGH_USAGE
2026-06-02 12:02:44 | FACILITY_WATER_MAIN | 20 | NORMAL
2026-06-02 12:02:44 | ICU_WATER_RESERVE | 20 | NORMAL
2026-06-02 12:02:45 | FACILITY_WATER_MAIN | 22 | NORMAL
2026-06-02 12:02:45 | ICU_WATER_RESERVE | 7 | NORMAL
2026-06-02 12:02:46 | FACILITY_WATER_MAIN | 11 | NORMAL
2026-06-02 12:02:46 | ICU_WATER_RESERVE | 13 | NORMAL
2026-06-02 12:02:47 | FACILITY_WATER_MAIN | 14 | NORMAL
2026-06-02 12:02:47 | ICU_WATER_RESERVE | 8 | NORMAL
2026-06-02 12:02:48 | FACILITY_WATER_MAIN | 43 | HIGH_USAGE
2026-06-02 12:02:48 | ICU_WATER_RESERVE | 31 | NORMAL
2026-06-02 12:02:49 | FACILITY_WATER_MAIN | 24 | NORMAL
2026-06-02 12:02:49 | ICU_WATER_RESERVE | 9 | NORMAL
2026-06-02 12:02:50 | FACILITY_WATER_MAIN | 28 | NORMAL
2026-06-02 12:02:50 | ICU_WATER_RESERVE | 35 | NORMAL
2026-06-02 12:02:51 | FACILITY_WATER_MAIN | 24 | NORMAL
2026-06-02 12:02:51 | ICU_WATER_RESERVE | 24 | NORMAL
2026-06-02 12:02:52 | FACILITY_WATER_MAIN | 33 | NORMAL
2026-06-02 12:02:52 | ICU_WATER_RESERVE | 39 | HIGH_USAGE
2026-06-02 12:02:53 | FACILITY_WATER_MAIN | 14 | NORMAL
2026-06-02 12:02:53 | ICU_WATER_RESERVE | 24 | NORMAL
